,プレイ時間,00:00:32
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 14:05:43, 1秒, 0/s, 00:04
2, 0, 14:05:46, 1秒, 0/s, 00:02
3, 0, 14:05:48, 1秒, 0/s, 00:01
4, 0, 14:05:51, 1秒, 0/s, 00:02
5, 0, 14:05:54, 1秒, 0/s, 00:02
6, 0, 14:05:57, 1秒, 0/s, 00:02
7, 0, 14:05:59, 1秒, 0/s, 00:01
8, 0, 14:06:02, 1秒, 0/s, 00:02
9, 0, 14:06:04, 1秒, 0/s, 00:01
10, 0, 14:06:07, 1秒, 0/s, 00:02
