,
,プレイ時間,00:00:09
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 18:28:19, 1秒, 0/s, 00:03
2, 0, 18:28:21, 1秒, 0/s, 00:01
