,
,プレイ時間,00:00:17
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 16:56:22, 2秒, 0/s, 00:07
2, 0, 16:56:27, 1秒, 0/s, 00:03
