,
,プレイ時間,00:00:15
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 14:54:09, 2秒, 0/s, 00:03
2, 0, 14:54:13, 6秒, 0/s, 00:02
