,
,プレイ時間,00:00:34
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 18:36:01, 5秒, 0/s, 00:17
2, 0, 18:36:09, 3秒, 0/s, 00:03
