,
,プレイ時間,00:00:18
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 14:41:38, 1秒, 0/s, 00:03
2, 0, 14:41:40, 1秒, 0/s, 00:01
3, 0, 14:41:43, 1秒, 0/s, 00:02
4, 0, 14:41:45, 1秒, 0/s, 00:01
5, 0, 14:41:47, 1秒, 0/s, 00:01
6, 0, 14:41:49, 1秒, 0/s, 00:01
