,
,プレイ時間,00:01:22
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 09:22:23, 15秒, 0/s, 00:54
2, 0, 09:22:42, 1秒, 0/s, 00:04
