,
,プレイ時間,00:00:12
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 14:58:30, 1秒, 0/s, 00:03
2, 0, 14:58:32, 3秒, 0/s, 00:01
