,
,プレイ時間,00:00:29
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 10:09:06, 1秒, 0/s, 00:01
2, 0, 10:09:08, 0秒, 0/s, 00:01
3, 0, 10:09:11, 1秒, 0/s, 00:03
4, 0, 10:09:13, 0秒, 0/s, 00:01
5, 0, 10:09:14, 0秒, 0/s, 00:01
6, 0, 10:09:15, 0秒, 0/s, 00:01
7, 0, 10:09:16, 1秒, 0/s, 00:01
8, 0, 10:09:17, 0秒, 0/s, 00:00
9, 0, 10:09:18, 0秒, 0/s, 00:01
10, 0, 10:09:18, 1秒, 0/s, 00:00
11, 0, 10:09:19, 0秒, 0/s, 00:00
12, 0, 10:09:20, 0秒, 0/s, 00:01
