id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 13:49:56, 7s, 0/s, 00:06
2, 0, 13:50:15, 2s, 0/s, 00:12
3, 0, 13:50:21, 1s, 0/s, 00:04
4, 0, 13:50:24, 2s, 0/s, 00:02
5, 0, 13:52:05, 3s, 0/s, 01:39
6, 0, 13:52:13, 2s, 0/s, 00:05
