id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 06:46:52, 4s, 0, 2s
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
2, 0, 06:46:58, 7s, 0, 2s
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
3, 0, 06:47:07, 7s, 0, 2s
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
4, 0, 06:47:16, 7s, 0, 2s
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
5, 0, 06:47:26, 4s, 0, 3s
