,
,プレイ時間,00:01:26
,取得メセタ,0
,時給,0
,
id, メセタ, 開始時刻, 記録時間, MPS, 間隔
1, 0, 09:31:43, 4秒, 0/s, 00:03
2, 0, 09:31:48, 6秒, 0/s, 00:01
3, 0, 09:31:54, 2秒, 0/s, 00:00
